cases	vus	iterations_per_run	p50_ms	p95_ms	p99_ms	throughput_rps	failure_rate
100	1	15	26.532	34.3547	38.30214	37.520073	0
100	5	15	43.238	49.2634	49.63748	114.002554	0
100	10	30	56.7395	73.7097	74.40282	163.734902	0
100	30	30	141.449	286.99365	301.66772	98.883278	0
1000	1	15	59.596	102.159	167.7462	15.405456	0
1000	5	15	78.271	101.3894	105.41468	57.871263	0
1000	10	30	128.1215	160.01215	168.17879	74.795248	0
1000	30	30	326.0135	440.57795	455.04874	63.819332	0
10000	1	15	346.757	401.1778	429.64596	2.780767	0
10000	5	15	532.571	783.1478	806.43036	7.998110	0
10000	10	10	2017.853	2127.9461	2134.82282	4.670403	0
10000	30	30	4156.579	5670.427	5717.10705	5.230184	0
